id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
242737,SPXEGN1TGSB2IKT9 | 1733188782,SPXEGN1TGSB2IKT9,2024-12-03 10:19:42,210.99.114.165,28.28,1019.60,18.80,406.85,22901.99,-52.90
242793,SPXEGN1TGSB2IKT9 | 1733189398,SPXEGN1TGSB2IKT9,2024-12-03 10:29:58,210.99.114.165,28.41,1019.94,18.40,408.35,23082.44,-55.47
242845,SPXEGN1TGSB2IKT9 | 1733189974,SPXEGN1TGSB2IKT9,2024-12-03 10:39:34,210.99.114.165,28.51,1019.97,18.41,409.85,23264.94,-55.80
242900,SPXEGN1TGSB2IKT9 | 1733190590,SPXEGN1TGSB2IKT9,2024-12-03 10:49:50,210.99.114.165,28.66,1019.94,18.37,409.60,23234.35,-55.63
242952,SPXEGN1TGSB2IKT9 | 1733191164,SPXEGN1TGSB2IKT9,2024-12-03 10:59:24,210.99.114.165,28.77,1019.97,18.22,408.35,23082.44,-55.72
243007,SPXEGN1TGSB2IKT9 | 1733191779,SPXEGN1TGSB2IKT9,2024-12-03 11:09:39,210.99.114.165,28.88,1019.89,18.17,407.85,23022.13,-55.05
243063,SPXEGN1TGSB2IKT9 | 1733192397,SPXEGN1TGSB2IKT9,2024-12-03 11:19:57,210.99.114.165,28.97,1019.77,18.06,408.35,23082.44,-54.14
243115,SPXEGN1TGSB2IKT9 | 1733192968,SPXEGN1TGSB2IKT9,2024-12-03 11:29:28,210.99.114.165,29.04,1019.63,18.03,407.85,23022.13,-52.90
243170,SPXEGN1TGSB2IKT9 | 1733193587,SPXEGN1TGSB2IKT9,2024-12-03 11:39:47,210.99.114.165,29.14,1019.63,17.97,406.36,22842.28,-52.98
243222,SPXEGN1TGSB2IKT9 | 1733194160,SPXEGN1TGSB2IKT9,2024-12-03 11:49:20,210.99.114.165,29.22,1019.64,17.80,405.12,22694.07,-52.98
243278,SPXEGN1TGSB2IKT9 | 1733194772,SPXEGN1TGSB2IKT9,2024-12-03 11:59:32,210.99.114.165,29.32,1019.50,17.63,413.15,23667.52,-52.16
243332,SPXEGN1TGSB2IKT9 | 1733195387,SPXEGN1TGSB2IKT9,2024-12-03 12:09:47,210.99.114.165,29.39,1019.45,17.48,415.99,24016.07,-51.41
243388,SPXEGN1TGSB2IKT9 | 1733195998,SPXEGN1TGSB2IKT9,2024-12-03 12:19:58,210.99.114.165,29.44,1019.42,17.37,414.18,23793.49,-51.41
243440,SPXEGN1TGSB2IKT9 | 1733196565,SPXEGN1TGSB2IKT9,2024-12-03 12:29:25,210.99.114.165,29.52,1019.40,17.26,411.12,23418.56,-51.16
243496,SPXEGN1TGSB2IKT9 | 1733197173,SPXEGN1TGSB2IKT9,2024-12-03 12:39:33,210.99.114.165,29.58,1019.35,17.17,415.21,23920.29,-50.75
243552,SPXEGN1TGSB2IKT9 | 1733197783,SPXEGN1TGSB2IKT9,2024-12-03 12:49:43,210.99.114.165,29.64,1019.40,17.06,422.31,24802.77,-51.00
243607,SPXEGN1TGSB2IKT9 | 1733198399,SPXEGN1TGSB2IKT9,2024-12-03 12:59:59,210.99.114.165,29.70,1019.26,17.03,417.29,24177.01,-49.75
243660,SPXEGN1TGSB2IKT9 | 1733198969,SPXEGN1TGSB2IKT9,2024-12-03 13:09:29,210.99.114.165,29.79,1019.14,17.00,419.13,24404.89,-48.92
243716,SPXEGN1TGSB2IKT9 | 1733199586,SPXEGN1TGSB2IKT9,2024-12-03 13:19:46,210.99.114.165,29.85,1019.04,16.46,420.18,24536.45,-48.01
243771,SPXEGN1TGSB2IKT9 | 1733200198,SPXEGN1TGSB2IKT9,2024-12-03 13:29:58,210.99.114.165,29.89,1018.84,16.13,424.19,25039.28,-46.44
243824,SPXEGN1TGSB2IKT9 | 1733200770,SPXEGN1TGSB2IKT9,2024-12-03 13:39:30,210.99.114.165,29.97,1018.61,16.28,428.55,25592.00,-44.45
243880,SPXEGN1TGSB2IKT9 | 1733201381,SPXEGN1TGSB2IKT9,2024-12-03 13:49:41,210.99.114.165,30.07,1018.28,16.35,426.09,25278.96,-41.88
243936,SPXEGN1TGSB2IKT9 | 1733201993,SPXEGN1TGSB2IKT9,2024-12-03 13:59:53,210.99.114.165,30.16,1018.19,16.23,424.19,25039.28,-41.05
243988,SPXEGN1TGSB2IKT9 | 1733202562,SPXEGN1TGSB2IKT9,2024-12-03 14:09:22,210.99.114.165,30.21,1018.32,16.20,423.65,24971.39,-42.13
244044,SPXEGN1TGSB2IKT9 | 1733203177,SPXEGN1TGSB2IKT9,2024-12-03 14:19:37,210.99.114.165,30.32,1018.46,16.18,425.01,25141.61,-43.29
244098,SPXEGN1TGSB2IKT9 | 1733203792,SPXEGN1TGSB2IKT9,2024-12-03 14:29:52,210.99.114.165,30.45,1018.54,16.16,422.31,24802.77,-43.95
244150,SPXEGN1TGSB2IKT9 | 1733204359,SPXEGN1TGSB2IKT9,2024-12-03 14:39:19,210.99.114.165,30.49,1018.41,16.15,419.39,24437.62,-42.87
244205,SPXEGN1TGSB2IKT9 | 1733204960,SPXEGN1TGSB2IKT9,2024-12-03 14:49:20,210.99.114.165,30.57,1018.43,16.05,420.98,24635.85,-43.12
244261,SPXEGN1TGSB2IKT9 | 1733205578,SPXEGN1TGSB2IKT9,2024-12-03 14:59:38,210.99.114.165,30.61,1018.48,15.99,420.18,24536.45,-43.62
244315,SPXEGN1TGSB2IKT9 | 1733206193,SPXEGN1TGSB2IKT9,2024-12-03 15:09:53,210.99.114.165,30.67,1018.31,15.96,418.34,24306.83,-42.04
244368,SPXEGN1TGSB2IKT9 | 1733206768,SPXEGN1TGSB2IKT9,2024-12-03 15:19:28,210.99.114.165,30.72,1018.14,15.95,418.34,24306.83,-40.80
244423,SPXEGN1TGSB2IKT9 | 1733207386,SPXEGN1TGSB2IKT9,2024-12-03 15:29:46,210.99.114.165,30.78,1018.00,15.90,416.51,24080.29,-39.47
244475,SPXEGN1TGSB2IKT9 | 1733207960,SPXEGN1TGSB2IKT9,2024-12-03 15:39:20,210.99.114.165,30.82,1017.89,15.89,415.99,24016.07,-38.48
244529,SPXEGN1TGSB2IKT9 | 1733208561,SPXEGN1TGSB2IKT9,2024-12-03 15:49:21,210.99.114.165,30.84,1017.84,15.80,417.82,24241.82,-38.31
244585,SPXEGN1TGSB2IKT9 | 1733209178,SPXEGN1TGSB2IKT9,2024-12-03 15:59:38,210.99.114.165,30.89,1017.96,15.73,415.99,24016.07,-39.14
244641,SPXEGN1TGSB2IKT9 | 1733209793,SPXEGN1TGSB2IKT9,2024-12-03 16:09:53,210.99.114.165,30.92,1017.97,15.66,415.73,23984.12,-39.39
